END-PLACA,MAP,CUSTOM_LABEL,DEVICE_TYPE
M4-099,4,N2-L24-099-DF-VESTIARIO FEMININ-TE-PN,
M4-100,4,N2-L24-100-DF-SALA HVAC-SM103-TE-PN,
M4-101,4,UNUSED,UNUSED
M4-102,4,N2-L24-102-DF-VESTIARIO MASCULINO-TE-PN,
M4-103,4,N2-L24-103-DF-BANHEIRO MASCULINO-TE-PN,
M4-104,4,N2-L24-104-DF-PNE MASCULINO-TE-PN,
M4-105,4,N2-L24-105-DF-PNE FEMENINO-TE-PN,
M4-106,4,N2-L24-106-DF-PNE FEMENINO-TE-PN,
M4-107,4,N2-L24-107-DF-VESTIARIO FEMININ-TE-PN,
M4-108,4,N2-L24-108-DF-DEPOSITO 114-1P-CN,
M4-109,4,N2-L24-109-DF-ANTISALA BANH-1P-CN,
M4-110,4,N2-L24-110-DF-ANTISALA BANH-1P-CN,
M4-111,4,N2-L24-111-DF-WC PNE MASC -1P-CN,
M4-112,4,N2-L24-112-DF- FRAUDÁRIO DES INTER-1P-CN,
M4-113,4,N2-L24-113-DF-FRAUDÁRIO DES INTER -1P-CN,
M4-114,4,UNUSED,UNUSED
M4-115,4,UNUSED,UNUSED
M4-116,4,UNUSED,UNUSED
M4-117,4,UNUSED,UNUSED
M4-118,4,UNUSED,UNUSED
M4-119,4,UNUSED,UNUSED
M4-120,4,UNUSED,UNUSED
M4-121,4,UNUSED,UNUSED
M4-122,4,UNUSED,UNUSED
M4-123,4,UNUSED,UNUSED
M4-124,4,UNUSED,UNUSED
M4-125,4,UNUSED,UNUSED
M4-126,4,UNUSED,UNUSED
M4-127,4,UNUSED,UNUSED
M4-128,4,UNUSED,UNUSED
M4-129,4,UNUSED,UNUSED
M4-130,4,UNUSED,UNUSED
M4-131,4,UNUSED,UNUSED
M4-132,4,UNUSED,UNUSED
M4-133,4,UNUSED,UNUSED
M4-134,4,UNUSED,UNUSED
M4-135,4,UNUSED,UNUSED
M4-136,4,UNUSED,UNUSED
M4-137,4,UNUSED,UNUSED
M4-138,4,UNUSED,UNUSED
M4-139,4,UNUSED,UNUSED
M4-140,4,UNUSED,UNUSED
M4-141,4,UNUSED,UNUSED
M4-142,4,UNUSED,UNUSED
M4-143,4,UNUSED,UNUSED
M4-144,4,UNUSED,UNUSED
M4-145,4,UNUSED,UNUSED
M4-146,4,UNUSED,UNUSED
M4-147,4,UNUSED,UNUSED
M4-148,4,UNUSED,UNUSED
M4-149,4,UNUSED,UNUSED
M4-150,4,UNUSED,UNUSED
M4-151,4,UNUSED,UNUSED
M4-152,4,UNUSED,UNUSED
M4-153,4,UNUSED,UNUSED
M4-154,4,UNUSED,UNUSED
M4-155,4,UNUSED,UNUSED
M4-156,4,UNUSED,UNUSED
M4-157,4,UNUSED,UNUSED
M4-158,4,UNUSED,UNUSED
M4-159,4,UNUSED,UNUSED
M4-160,4,UNUSED,UNUSED
M4-161,4,UNUSED,UNUSED
M4-162,4,UNUSED,UNUSED
M4-163,4,UNUSED,UNUSED
M4-164,4,UNUSED,UNUSED
M4-165,4,UNUSED,UNUSED
M4-166,4,UNUSED,UNUSED
M4-167,4,UNUSED,UNUSED
M4-168,4,UNUSED,UNUSED
M4-169,4,UNUSED,UNUSED
M4-170,4,UNUSED,UNUSED
M4-171,4,UNUSED,UNUSED
M4-172,4,UNUSED,UNUSED
M4-173,4,UNUSED,UNUSED
M4-174,4,UNUSED,UNUSED
M4-175,4,UNUSED,UNUSED
M4-176,4,UNUSED,UNUSED
M4-177,4,UNUSED,UNUSED
M4-178,4,UNUSED,UNUSED
M4-179,4,UNUSED,UNUSED
M4-180,4,UNUSED,UNUSED
M4-181,4,UNUSED,UNUSED
M4-182,4,UNUSED,UNUSED
M4-183,4,UNUSED,UNUSED
M4-184,4,UNUSED,UNUSED
M4-185,4,UNUSED,UNUSED
M4-186,4,UNUSED,UNUSED
M4-187,4,UNUSED,UNUSED
M4-188,4,UNUSED,UNUSED
M4-189,4,UNUSED,UNUSED
M4-190,4,UNUSED,UNUSED
M4-191,4,UNUSED,UNUSED
M4-192,4,UNUSED,UNUSED
M4-193,4,UNUSED,UNUSED
M4-194,4,UNUSED,UNUSED
M4-195,4,UNUSED,UNUSED
M4-196,4,UNUSED,UNUSED
M4-197,4,UNUSED,UNUSED
M4-198,4,UNUSED,UNUSED
M4-199,4,UNUSED,UNUSED
M4-200,4,UNUSED,UNUSED
M4-201,4,UNUSED,UNUSED
M4-202,4,UNUSED,UNUSED
M4-203,4,UNUSED,UNUSED
M4-204,4,UNUSED,UNUSED
M4-205,4,UNUSED,UNUSED
M4-206,4,UNUSED,UNUSED
M4-207,4,UNUSED,UNUSED
M4-208,4,UNUSED,UNUSED
M4-209,4,UNUSED,UNUSED
M4-210,4,UNUSED,UNUSED
M4-211,4,UNUSED,UNUSED
M4-212,4,UNUSED,UNUSED
M4-213,4,UNUSED,UNUSED
M4-214,4,UNUSED,UNUSED
M4-215,4,UNUSED,UNUSED
M4-216,4,UNUSED,UNUSED
M4-217,4,UNUSED,UNUSED
M4-218,4,UNUSED,UNUSED
M4-219,4,UNUSED,UNUSED
M4-220,4,UNUSED,UNUSED
M4-221,4,UNUSED,UNUSED
M4-222,4,UNUSED,UNUSED
M4-223,4,UNUSED,UNUSED
M4-224,4,UNUSED,UNUSED
M4-225,4,UNUSED,UNUSED
M4-226,4,UNUSED,UNUSED
M4-227,4,UNUSED,UNUSED
M4-228,4,UNUSED,UNUSED
M4-229,4,UNUSED,UNUSED
M4-230,4,UNUSED,UNUSED
M4-231,4,UNUSED,UNUSED
M4-232,4,UNUSED,UNUSED
M4-233,4,UNUSED,UNUSED
M4-234,4,UNUSED,UNUSED
M4-235,4,UNUSED,UNUSED
M4-236,4,UNUSED,UNUSED
M4-237,4,UNUSED,UNUSED
M4-238,4,UNUSED,UNUSED
M4-239,4,UNUSED,UNUSED
M4-240,4,UNUSED,UNUSED
M4-241,4,UNUSED,UNUSED
M4-242,4,UNUSED,UNUSED
M4-243,4,UNUSED,UNUSED
M4-244,4,UNUSED,UNUSED
M4-245,4,UNUSED,UNUSED
M4-246,4,UNUSED,UNUSED
M4-247,4,UNUSED,UNUSED
M4-248,4,UNUSED,UNUSED
M4-249,4,UNUSED,UNUSED
M4-250,4,UNUSED,UNUSED
